"Country","Date_reported","Country_code","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Population","New_cases_pc","Cumulative_cases_pc","New_deaths_pc","Cumulative_deaths_pc"
"Cyprus","4/28/2020","CY","EURO",5,822,1,15,0.869006,5.7537e-06,0.000945908,1.15074e-06,1.72611e-05
"Cyprus","9/28/2020","CY","EURO",12,1696,0,22,0.869006,1.38089e-05,0.001951655,0,2.53163e-05
"Cyprus","12/28/2020","CY","EURO",266,19657,1,112,0.869006,0.000306097,0.022620097,1.15074e-06,0.000128883
"Cyprus","8/28/2020","CY","EURO",0,1481,0,21,0.869006,0,0.001704246,0,2.41655e-05
"Czechia","12/28/2020","CZ","EURO",3741,674340,108,11152,10.62643,0.000352047,0.063458753,1.01633e-05,0.001049459
"Czechia","8/28/2020","CZ","EURO",349,23300,0,418,10.62643,3.28426e-05,0.002192646,0,3.93359e-05
"Czechia","1/28/2020","CZ","EURO",0,0,0,0,10.62643,0,0,0,0
"Czechia","3/28/2020","CZ","EURO",217,2279,0,9,10.62643,2.04208e-05,0.000214465,0,8.46945e-07
"Czechia","4/28/2020","CZ","EURO",45,7449,2,223,10.62643,4.23472e-06,0.000700988,1.8821e-07,2.09854e-05
"Czechia","11/28/2020","CZ","EURO",4464,515984,188,7967,10.62643,0.000420085,0.048556665,1.76917e-05,0.000749734
"Czechia","2/28/2020","CZ","EURO",0,0,0,0,10.62643,0,0,0,0
"Czechia","1/28/2021","CZ","EURO",8505,964660,153,15944,10.62643,0.000800363,0.090779312,1.43981e-05,0.00150041
"Czechia","7/28/2020","CZ","EURO",192,15516,2,373,10.62643,1.80682e-05,0.001460133,1.8821e-07,3.51012e-05
"Czechia","10/28/2020","CZ","EURO",15663,284033,182,2547,10.62643,0.001473966,0.02672892,1.71271e-05,0.000239685
"Czechia","5/28/2020","CZ","EURO",36,9086,0,317,10.62643,3.38778e-06,0.000855038,0,2.98313e-05
"Czechia","6/28/2020","CZ","EURO",260,11298,2,347,10.62643,2.44673e-05,0.001063198,1.8821e-07,3.26544e-05
"Czechia","9/28/2020","CZ","EURO",1303,64597,15,606,10.62643,0.000122619,0.006078899,1.41157e-06,5.70276e-05
"Denmark","7/28/2020","DK","EURO",109,13547,0,613,5.789957,1.88257e-05,0.002339741,0,0.000105873
"Denmark","8/28/2020","DK","EURO",90,16627,1,624,5.789957,1.55442e-05,0.002871697,1.72713e-07,0.000107773
"Denmark","3/28/2020","DK","EURO",169,2046,11,52,5.789957,2.91885e-05,0.00035337,1.89984e-06,8.98107e-06
"Denmark","6/28/2020","DK","EURO",0,12675,0,604,5.789957,0,0.002189135,0,0.000104319
"Denmark","10/28/2020","DK","EURO",745,42157,1,709,5.789957,0.000128671,0.007281056,1.72713e-07,0.000122453
"Denmark","11/28/2020","DK","EURO",1323,76718,5,816,5.789957,0.000228499,0.013250185,8.63564e-07,0.000140934
"Denmark","4/28/2020","DK","EURO",123,8698,5,427,5.789957,2.12437e-05,0.001502256,8.63564e-07,7.37484e-05
"Denmark","2/28/2020","DK","EURO",0,1,0,0,5.789957,0,1.72713e-07,0,0
"Denmark","1/28/2020","DK","EURO",0,0,0,0,5.789957,0,0,0,0
"Denmark","12/28/2020","DK","EURO",2180,153347,21,1174,5.789957,0.000376514,0.026484998,3.62697e-06,0.000202765
"Denmark","5/28/2020","DK","EURO",52,11480,2,565,5.789957,8.98107e-06,0.001982744,3.45426e-07,9.75828e-05
"Denmark","9/28/2020","DK","EURO",424,26637,1,649,5.789957,7.32303e-05,0.004600552,1.72713e-07,0.000112091
"Denmark","1/28/2021","DK","EURO",592,196540,20,2050,5.789957,0.000102246,0.033944984,3.45426e-06,0.000354061
"Estonia","3/28/2020","EE","EURO",37,575,0,1,1.321977,2.79884e-05,0.000434955,0,7.56443e-07
"Estonia","7/28/2020","EE","EURO",4,2038,0,63,1.321977,3.02577e-06,0.00154163,0,4.76559e-05
"Estonia","11/28/2020","EE","EURO",368,11323,5,104,1.321977,0.000278371,0.008565202,3.78221e-06,7.86701e-05
"Estonia","6/28/2020","EE","EURO",0,1986,0,63,1.321977,0,0.001502295,0,4.76559e-05
"Estonia","2/28/2020","EE","EURO",0,1,0,0,1.321977,0,7.56443e-07,0,0
"Estonia","12/28/2020","EE","EURO",416,25808,9,213,1.321977,0.00031468,0.019522276,6.80799e-06,0.000161122
"Estonia","4/28/2020","EE","EURO",4,1647,1,50,1.321977,3.02577e-06,0.001245861,7.56443e-07,3.78221e-05
"Estonia","8/28/2020","EE","EURO",14,2325,0,64,1.321977,1.05902e-05,0.00175873,0,4.84123e-05
"Estonia","10/28/2020","EE","EURO",37,4465,0,73,1.321977,2.79884e-05,0.003377517,0,5.52203e-05
"Estonia","5/28/2020","EE","EURO",6,1840,0,63,1.321977,4.53866e-06,0.001391855,0,4.76559e-05
"Estonia","9/28/2020","EE","EURO",35,3200,0,64,1.321977,2.64755e-05,0.002420617,0,4.84123e-05
"Estonia","1/28/2021","EE","EURO",690,42656,8,406,1.321977,0.000521946,0.032266825,6.05154e-06,0.000307116
"Estonia","1/28/2020","EE","EURO",0,0,0,0,1.321977,0,0,0,0
"Finland","8/28/2020","FI","EURO",17,8019,0,335,5.515525,3.08221e-06,0.001453896,0,6.07376e-05
"Finland","5/28/2020","FI","EURO",64,6692,1,313,5.515525,1.16036e-05,0.001213302,1.81306e-07,5.67489e-05
"Finland","4/28/2020","FI","EURO",119,4695,3,193,5.515525,2.15755e-05,0.000851234,5.43919e-07,3.49921e-05
"Finland","12/28/2020","FI","EURO",1053,35137,22,546,5.515525,0.000190916,0.006370563,3.98874e-06,9.89933e-05
"Finland","7/28/2020","FI","EURO",5,7398,0,329,5.515525,9.06532e-07,0.001341305,0,5.96498e-05
"Finland","11/28/2020","FI","EURO",618,23766,5,393,5.515525,0.000112047,0.004308928,9.06532e-07,7.12534e-05
"Finland","3/28/2020","FI","EURO",67,1025,3,7,5.515525,1.21475e-05,0.000185839,5.43919e-07,1.26914e-06
"Finland","10/28/2020","FI","EURO",193,15163,0,354,5.515525,3.49921e-05,0.002749149,0,6.41825e-05
"Finland","1/28/2020","FI","EURO",0,0,0,0,5.515525,0,0,0,0
"Finland","1/28/2021","FI","EURO",496,43616,5,660,5.515525,8.9928e-05,0.00790786,9.06532e-07,0.000119662
"Finland","6/28/2020","FI","EURO",0,7191,0,328,5.515525,0,0.001303774,0,5.94685e-05
"Finland","9/28/2020","FI","EURO",105,9682,0,343,5.515525,1.90372e-05,0.001755409,0,6.21881e-05
"Finland","2/28/2020","FI","EURO",0,2,0,0,5.515525,0,3.62613e-07,0,0
"France","2/28/2020","FR","EURO",21,38,0,2,66.941698,3.13706e-07,5.67658e-07,0,2.98767e-08
"France","6/28/2020","FR","EURO",0,156156,0,29700,66.941698,0,0.002332716,0,0.00044367
"France","10/28/2020","FR","EURO",33405,1167705,522,35244,66.941698,0.000499016,0.017443612,7.79783e-06,0.000526488
"France","7/28/2020","FR","EURO",2254,171476,15,30093,66.941698,3.36711e-05,0.002561572,2.24076e-07,0.00044954
